kanji_strokes,How many strokes in the kanji for:,"Draw the figure in your mind, then type the number of strokes to help you remember:",,,,
racoon dog,10,狸,",racoon dog,raccoon dog,pack of wild dogs,computer,",,,
wolf,10,狼,",wolf,pack of wild dogs,halo,drop,silver,",,,
flustered,10,狽,",flustered,pack of wild dogs,shellfish,clam,oyster,eye,animal legs,eight,",,,
pup,8,狗,",pup,pack of wild dogs,phrase,bound up,mouth,",,,
fox,9,狐,",fox,pack of wild dogs,melon,claw,vulture,elbow,",,,
a-un,8,狛,",a-un,pack of wild dogs,white,dove,",,,
lion,13,獅,",lion,pack of wild dogs,expert,maestro,noren,one,ceiling,towel,",,,
baboon,8,狒,",baboon,pack of wild dogs,dollar,bow,stick,stick2,",,,
tobacco,11,莨,",tobacco,flowers,good,halo,drop,silver,",,,
jasmine,8,茉,",jasmine,flowers,extremity,one,tree,wood,",,,
hawthorn,10,莉,",hawthorn,flowers,profit,wheat,cereal,sword,sabre,saber,",,,
strawberry,9,苺,",strawberry,flowers,mother,",,,
bush clover,12,萩,",bush clover,flowers,autumn,wheat,cereal,fire,",,,
technique (old),nodata,藝,nodata,,,
trim,16,薙,",trim,flowers,pheasant,dart,drop,heavens,turkey,",,,
straw raincoat,13,蓑,",straw raincoat,flowers,declining,decline,pathetic,stick,top hat,scarf,mouth,",,,
moss,8,苔,",moss,flowers,pedestal,elbow,mouth,",,,
prodigal,15,蕩,",prodigal,water,water droplets,water pistol,hot water,water,water droplets,water pistol,piggy bank,sun,day,piglets,",,,
tendril,14,蔓,",tendril,flowers,mandala,sun,day,eye,cross-eyed,net,crotch,",,,
lotus,12,蓮,",lotus,flowers,take along,car,road,",,,
lotus flower,7,芙,",lotus flower,flowers,husband,",,,
lotus blossom,13,蓉,",lotus blossom,flowers,contents,contain,house,valley,animal legs,eight,umbrella,mouth,",,,
orchid,19,蘭,",orchid,flowers,gates,east,tree,wood,sun,day,",,,
hollow reed,7,芦,",hollow reed,flowers,door,one,ceiling,flag,",,,
yam,17,薯,",yam,flowers,signature,eye,cross-eyed,net,someone,puppet,sooty,old man,sun,day,",,,
iris,11,菖,",iris,flowers,prosperous,sun,day,sun2,day2,",,,
banana,15,蕉,",banana,flowers,char,turkey,oven-fire,barbecue,",,,
buckwheat,15,蕎,",buckwheat,flowers,angel,heavens,mouth,hood,mouth,mouth2,",,,
butterbur,16,蕗,",butterbur,flowers,path,wooden leg,mouth,stop,footprint,each,walking legs,mouth,mouth2,",,,
eggplant,8,茄,",eggplant,flowers,add,power,muscle,arnold,mouth,",,,
behind the scenes,13,蔭,",behind the scenes,flowers,shade,pinnacle,parthenon,acropolis,now,clock,rising cloud,two,elbow,wall,",,,
wormwood,14,蓬,",wormwood,flowers,tryst,Segway,Macbeth,walking legs,bushes,road,",,,
mustard,7,芥,",mustard,flowers,jammed in,umbrella,stick,cane,",,,
germinate,11,萌,",germinate,flowers,bright,sun,day,moon,month,flesh,part of the body,",,,
grape,12,葡,",grape,flowers,bound up,dog-tag,arrowhead,screwdriver,utilise,utilise,",,,
grape vine,11,萄,",grape vine,flowers,bound up,tin can,noon,sign of the horse,shovel,",,,
resurrect,19,蘇,",resurrect,flowers,fish,bound up,rice field,brains,oven-fire,barbecue,wheat,cereal,",,,
grow wild,16,蕃,",grow wild,flowers,dice,animal tracks,drop,rice,rice field,brains,",,,
cocklebur,8,苓,",cocklebur,flowers,orders,meeting,chop-seal,hanko,",,,
rush mat,12,菰,",rush mat,flowers,orphan,child,melon,claw,vulture,elbow,",,,
darken,14,蒙,",darken,flowers,crown,one,ceiling,sow,pig,",,,
grassy reed,8,茅,",grassy reed,flowers,halberd,",,,
plantain,7,芭,",plantain,flowers,mosaic,",,,
mow,7,苅,",mow,flowers,reap,sheaf,sword,sabre,saber,",,,
onion,12,葱,",onion,flowers,double knot,heart,",,,
hollyhock,12,葵,",hollyhock,flowers,10th calendar sign,peace pipe,teepee,wigwam,heavens,",,,
shingling,12,葺,",shingling,flowers,headset,mouth,ear,",,,
stamen,15,蕊,",stamen,flowers,heart,heart3,",,,
mushroom,9,茸,",mushroom,flowers,ear,",,,
sowing,13,蒔,",sowing,flowers,time,sun,day,Buddhist temple,soil,dirt,ground,glue,",,,
parsley,7,芹,",parsley,flowers,axe,",,,
thatching,8,苫,",thatching,flowers,fortune-telling,magic wand,augury,mouth,",,,
pale blue,14,蒼,",pale blue,flowers,godown,meeting,single gate,umbrella,stable door,mouth,",,,
straw,17,藁,",straw,flowers,tall,top hat,mouth,hood,mouth,tree,wood,mouth2,",,,
turnip,15,蕪,",turnip,flowers,nothingness,reclining,lying down,tub,oven-fire,barbecue,",,,
sweet potato,18,藷,",sweet potato,flowers,various,say,words,keitai,mouth,someone,puppet,sooty,old man,sun,day,",,,
quack,16,薮,",quack,flowers,number,rice,woman,taskmaster,",,,
garlic,13,蒜,",garlic,flowers,altar,show,two,small,altar2,show2,two2,small2,",,,
bracken,15,蕨,",bracken,flowers,cliff,mountain goat,horns,mountain,lack,yawn,",,,
grow plentiful,14,蔚,",grow plentiful,flowers,military officer,flag,altar,show,two,small,glue,",,,
madder red,9,茜,",madder red,flowers,west,",,,
candle rush,10,莞,",candle rush,flowers,perfect,house,beginnings,two,human legs,",,,
collector,14,蒐,",collector,flowers,ghost,oni,drop,brains,rice field,human legs,elbow,",,,
sedge,11,菅,",sedge,flowers,bureaucrat,house,maestro without baton,",,,
ditch reed,13,葦,",ditch reed,flowers,locket,stick,key,mouth,monocle,sunglasses with one lens missing,",,,
Way,7,迪,",Way,sprout,shoot,road,",,,
track down,5,辿,",track down,mountain,road,",,,
crawl,9,這,",crawl,say,words,keitai,mouth,road,",,,
detour,5,迂,",detour,potato,road,",,,
shirk,nodata,遁,nodata,,,
tryst,9,逢,",tryst,Segway,Macbeth,walking legs,bushes,road,",,,
far off,11,遥,",far off,condor,claw,vulture,king,mountain,road,",,,
faraway,nodata,遼,nodata,,,
pressing,11,逼,",pressing,wealth,one,ceiling,mouth,rice field,brains,road,",,,
until,5,迄,",until,beg,reclining,lying down,fishhook,road,",,,
standstill,9,逗,",standstill,beans,table,one,mouth,road,",,,
courtesy,14,鄭,",courtesy,chieftain,Molotov cocktail,animal horns,whiskey bottle,large,St. Bernard,city walls,",,,
falling,nodata,隕,nodata,,,
nook,12,隈,",nook,pinnacle,parthenon,acropolis,apprehensive,rice field,brains,hairpin,safety-pin,",,,
possessed,16,憑,",possessed,ice,team of horses,heart,",,,
attract,13,惹,",attract,young,flowers,right,by one’s side,mouth,heart,",,,
without exception,11,悉,",without exception,animal tracks,drop,rice,heart,",,,
instantaneously,8,忽,",instantaneously,knot,heart,",,,
firstborn son,12,惣,",firstborn son,thing,cow,knot,heart,",,,
in the nick of time,13,愈,",in the nick of time,meeting of butchers,umbrella,one,moon,month,flesh,part of the body,sword,sabre,saber,heart,",,,
sensitive,10,恕,",sensitive,likeness,woman,mouth,heart,",,,
overarching,9,昴,",overarching,sun,day,sign of the hare,",,,
progress,10,晋,",progress,row with horns missing,sun,day,",,,
aglow,11,晟,",aglow,sun,day,turn into,parade,dagger,",,,
halo,13,暈,",halo,sun,day,chariot,army,crown,car,vehicle,",,,
glitter,13,暉,",glitter,sun,day,chariot,army,crown,car,vehicle,",,,
dry weather,7,旱,",dry weather,sun,day,dry,clothesline,",,,
clear skies,10,晏,",clear skies,sun,relax,house,woman,",,,
morrow,11,晨,",morrow,sun,sign of the dragon,cliff,two,hairpin,safety-pin,",,,
bleaching,10,晒,",bleaching,sun,day,west,",,,
limpid,10,晃,",limpid,sun,ray,small,little,human legs,",,,
air out,19,曝,",air out,sun,day,outburst,sun,day,strung together,salad,animal legs,eight,grains of rice,sun2,day2,",,,
dawn,17,曙,",dawn,sun,day,signature,eye,cross-eyed,net,someone,puppet,sooty,old man,sun,day,sun2,day2,",,,
elevate,8,昂,",elevate,sun,stamp album,box,stamps,",,,
dusk,8,昏,",dusk,family name,sun,day,",,,
last day of the month,10,晦,",last day of the month,sun,day,every,reclining,lying down,mother,breasts,",,,
pus,17,膿,",pus,moon,month,flesh,part of the body,agriculture,bend,sign of the dragon,cliff,two,hairpin,safety-pin,",,,
viscera,12,腑,",viscera,moon,month,flesh,part of the body,borough,municipality,cave,adhere,sellotape,person,glue,",,,
bladder,10,胱,",bladder,moon,month,flesh,part of the body,ray,small,little,human legs,",,,
embryo,9,胚,",embryo,moon,month,flesh,part of the body,negative,one,floor,",,,
anus,7,肛,",anus,moon,month,flesh,part of the body,craft,",,,
fragile,10,脆,",fragile,moon,month,flesh,part of the body,dangerous,bound up,unlucky,cliff,fingerprint,",,,
rib,6,肋,",rib,moon,month,flesh,part of the body,power,muscle,arnold,",,,
body cavity,12,腔,",body cavity,moon,month,flesh,part of the body,empty,sky,hole,house,human legs,craft,",,,
armrest,8,肱,",armrest,moon,month,flesh,part of the body,Yamanote,by one’s side,elbow,",,,
uncivilised,9,胡,",uncivilised,zombie,old,tombstone,gravestone,church,ten,needle,mouth,moon,month,flesh,part of the body,",,,
maple tree,13,楓,",maple tree,tree,wood,wind,gnats,drop,insect,",,,
purple willow,13,楊,",purple willow,tree,wood,piggy bank,sun,day,piglets,",,,
Oriental elm,12,椋,",Oriental elm,tree,wood,capital,tall,top hat,mouth,small,little,",,,
hazel,14,榛,",hazel,tree,wood,Manchu dynasty,bonsai,wheat,cereal,",,,
comb,17,櫛,",comb,tree,wood,node,bamboo,instant,silver,stamp,",,,
wooden hammer,13,槌,",wooden hammer,tree,wood,chase,maestro,road,",,,
mallet,16,樵,",mallet,tree,wood,char,turkey,oven-fire,barbecue,",,,
ladder,11,梯,",ladder,tree,wood,younger brother,horns,dollar,stick,",,,
citrus tree,9,柑,",citrus tree,tree,wood,sweet,wicker basket,picnic basket,",,,
picket,8,杭,",picket,tree,wood,whirlwind,top hat,wind,",,,
holly,9,柊,",holly,tree,wood,winter,walking legs,ice,drop,drop2,",,,
citron,9,柚,",citron,tree,wood,sprout,shoot,",,,
wooden bowl,12,椀,",wooden bowl,tree,wood,address,house,mailbox,evening,fingerprint,",,,
hemlock,9,栂,",hemlock,tree,wood,mother,",,,
spindle tree,9,柾,",spindle tree,tree,wood,correct,one,ceiling,stop,footprint,",,,
sacred tree,nodata,榊,nodata,,,
evergreen oak,16,樫,",evergreen oak,tree,wood,strict,loincloth,retainer,slave,crotch,soil,dirt,ground,",,,
black pine,nodata,槙,nodata,,,
Japanese oak,13,楢,",Japanese oak,tree,wood,chieftain,Molotov cocktail,animal horns,whiskey bottle,",,,
mandarin orange,16,橘,",mandarin orange,tree,wood,halberd,alien,hood,human legs,mouth,",,,
Japanese cypress,10,桧,",Japanese cypress,tree,wood,meeting,one,wall,umbrella,rising cloud,two,elbow,wall,",,,
roost,12,棲,",roost,tree,wood,wife,ten,needle,rake,woman,",,,
nestle,10,栖,",nestle,tree,wood,west,",,,
bellflower,10,桔,",bellflower,tree,wood,aerosol,samurai,mouth,",,,
temple grove,7,杜,",temple grove,tree,wood,soil,dirt,ground,",,,
grain rake,8,杷,",grain rake,tree,wood,mosaic,",,,
oar,11,梶,",oar,tree,wood,tail,flag,fur,",,,
wooden pestle,8,杵,",wooden pestle,tree,wood,horse,pantomime horse,noon,sign of the horse,",,,
cane,7,杖,",cane,tree,wood,length,stick,tucked under the arm,",,,
barrel,16,樽,",barrel,tree,wood,revered,Mother Teresa,chieftain,Molotov cocktail,animal horns,whiskey bottle,glue,",,,
turret,19,櫓,",turret,tree,wood,Russia,fish,bound up,rice field,brains,oven-fire,barbecue,sun,day,",,,
sturdy oak,17,橿,",sturdy oak,tree,wood,stile,stick,rice field,brains,stick3,rice field2,brains2,",,,
wooden ladle,7,杓,",wooden ladle,tree,wood,ladle,",,,
damson,7,李,",damson,tree,wood,child,",,,
raw cotton,12,棉,",raw cotton,tree,wood,napkin,white,dove,towel,",,,
escutcheon,13,楯,",escutcheon,tree,wood,shield,drag,ten,needle,eye,",,,
hackberry,14,榎,",hackberry,tree,wood,summer,one,ceiling,drop,eye,walking legs,",,,
birch,14,樺,",birch,tree,wood,splendor,flowers,silage,ten,needle,",,,
lance,14,槍,",lance,tree,wood,godown,meeting,single gate,umbrella,stable door,mouth,",,,
wild mulberry,9,柘,",wild mulberry,tree,wood,stone,rock,",,,
bale,11,梱,",bale,tree,wood,quandary,pent in,tree,wood,tree2,wood2,",,,
loquat,8,枇,",loquat,tree,wood,compare,spoon,sitting on the ground,spoon2,sitting on the ground2,",,,
downspout,14,樋,",downspout,tree,wood,traffic,pogo stick,chop-seal,hanko,utilise,utilise,road,",,,
sled,16,橇,",sled,tree,wood,fur,fur3,",,,
enjoyment,14,槃,",enjoyment,carrier,boat,cruise missile,missile,wind,crotch,tree,wood,",,,
bookmark,10,栞,",bookmark,dry,clothesline,tree,wood,dry2,clothesline2,",,,
coconut tree,13,椰,",coconut tree,tree,wood,exclamation,ear,city walls,",,,
sandalwood,17,檀,",sandalwood,tree,wood,Churchill,top hat,-times,nightbreak,sun,day,one,floor,",,,
sumac,nodata,樗,nodata,,,
zelkova,15,槻,",zelkova,tree,wood,standard,husband,see,telescope,eye,human legs,",,,
cryptomeria,12,椙,",cryptomeria,tree,wood,prosperous,sun,day,sun2,day2,",,,
copious,11,彬,",copious,grove,tree,wood,cedar,shape,tree2,wood2,",,,
bucket,11,桶,",bucket,tree,wood,pogo stick,chop-seal,hanko,utilise,utilise,",,,
ellipse,13,楕,",ellipse,tree,wood,left-handed,left,by one’s side,craft,moon,month,flesh,part of the body,",,,
star-anise,15,樒,",star-anise,tree,wood,secrecy,house,invariably,heart,mountain,",,,
furball,11,毬,",furball,fur,request,arrow,grains of rice,",,,
twinkle,18,燿,",twinkle,fire,futon,feathers,wings,turkey,",,,
watchfire,16,燎,",watchfire,fire,pup tent,large,St. Bernard,sun,day,small,little,",,,
torch,9,炬,",torch,fire,gigantic,Fafner,",,,
kindle,12,焚,",kindle,grove,tree,wood,fire,tree2,wood2,",,,
moxa,7,灸,",moxa,long time,mummy,bound up,person,fire,",,,
fanning,14,煽,",fanning,fire,fan,door,one,ceiling,flag,feathers,wings,",,,
soot,13,煤,",soot,fire,so-and-so,sweet,wicker basket,picnic basket,tree,wood,",,,
firing,12,煉,",firing,fire,east,tree,wood,sun,day,",,,
dazzling,17,燦,",dazzling,fire,Merlin,magic wand,augury,evening,crotch,rice,",,,
refulgent,7,灼,",refulgent,fire,ladle,",,,
branding,10,烙,",branding,fire,each,walking legs,mouth,",,,
flames,12,焔,",flames,fire,straight-jacket,bound up,olden times,old days,stick,sun,day,",,,
stew,10,烹,",stew,go smoothly,tall,top hat,mouth,complete,oven-fire,barbecue,",,,
tug,11,牽,",tug,mysterious,top hat,cocoon,crown,elbow,cow,",,,
female animal,6,牝,",female animal,cow,spoon,sitting on the ground,",,,
male animal,7,牡,",male animal,cow,soil,dirt,ground,",,,
chime,12,琳,",chime,king,jewel,ball,grove,tree,wood,tree2,wood2,",,,
lapis lazuli,11,琉,",lapis lazuli,king,jewel,ball,lifebelt,infant,toddler,top hat,elbow,stream,flood,",,,
burnish,14,瑳,",burnish,king,jewel,ball,distinction,wool,sheep,craft,",,,
hone,11,琢,",hone,king,jewel,ball,sow,pig,",,,
coral,8,珊,",coral,king,jewel,ball,tome,glass canopy,hood,flowers,",,,
coral reef,13,瑚,",coral reef,king,jewel,ball,uncivilised,zombie,old,tombstone,gravestone,church,ten,needle,mouth,moon,month,flesh,part of the body,",,,
fortunate,13,瑞,",fortunate,king,jewel,ball,pick-axe,mountain,comb,",,,
jet,7,玖,",jet,king,jewel,ball,long time,long time,mummy,bound up,person,",,,
crystal stone,12,瑛,",crystal stone,king,jewel,ball,England,flowers,centre,center,large,St. Bernard,",,,
tinkling,9,玲,",tinkling,king,jewel,ball,orders,meeting,chop-seal,hanko,",,,
lastly,10,畢,",lastly,rice field,brains,silage,flowers,ten,needle,",,,
paddy-field ridge,11,畦,",paddy-field ridge,rice field,brains,ivy,square jewel,soil,dirt,ground,soil2,dirt2,ground2,",,,
itch,11,痒,",itch,sickness,hospital,sheep,",,,
phlegm,13,痰,",phlegm,sickness,hospital,inflammation,fire,fire2,",,,
measles,10,疹,",measles,sickness,hospital,parasol,umbrella,shape,",,,
hemorrhoids,11,痔,",hemorrhoids,sickness,hospital,Buddhist temple,soil,dirt,ground,glue,",,,
cancer,17,癌,",cancer,sickness,hospital,goods,mouth,mountain,mouth3,",,,
paralysis,13,痺,",paralysis,sickness,hospital,lowly,Waynetta Slob,drop,rice field,brains,cornucopia,ten,needle,lowly*,",,,
apple of the eye,11,眸,",apple of the eye,eye,moo,elbow,cow,",,,
dizzy,10,眩,",dizzy,eye,mysterious,top hat,cocoon,",,,
pheasant,13,雉,",pheasant,dart,drop,heavens,turkey,",,,
carpenter’s square,nodata,矩,nodata,,,
crag,15,磐,",crag,carrier,boat,cruise missile,missile,wind,crotch,stone,rock,mouth,",,,
grapnel,13,碇,",grapnel,stone,rock,determine,determined,house,mend,",,,
blue-green,14,碧,",blue-green,king,jewel,ball,white,dove,stone,rock,",,,
inkstone,12,硯,",inkstone,stone,rock,see,telescope,eye,human legs,",,,
grindstone,10,砥,",grindstone,stone,rock,calling card,family name,one,floor,",,,
teacup,13,碗,",teacup,stone,rock,address,house,mailbox,evening,fingerprint,",,,
obstacle,13,碍,",obstacle,stone,rock,nightbreak,sun,day,one,floor,glue,",,,
illustrious,14,碩,",illustrious,stone,rock,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",,,
rocky beach,17,磯,",rocky beach,stone,rock,abacus,how many,cocoon,person,fiesta,cocoon2,",,,
whetstone,10,砺,",whetstone,stone,rock,Wimbledon,cliff,ten thousand,",,,
mill,13,碓,",mill,stone,rock,turkey,",,,
fend off,17,禦,",fend off,Nelson,column,going,line,wholesale,horseshoe,pantomime horse,noon,sign of the horse,stop,footprint,stamp,altar,show,two,small,",,,
beseech,19,祷,",beseech,altar,longevity,bushes,glue,",,,
ancestral tablet,9,祐,",ancestral tablet,altar,right,by one’s side,mouth,",,,
local god,8,祇,",local god,altar,family name,",,,
ancestral shrine,9,祢,",ancestral shrine,altar,hammock,reclining,lying down,small,little,",,,
salarium,12,禄,",salarium,altar,dustpan,broom,grains of rice,",,,
felicitation,13,禎,",felicitation,altar,upright,magic wand,augury,shellfish,clam,oyster,eye,animal legs,eight,",,,
balancing scales,10,秤,",balancing scales,wheat,cereal,even,water-lily,lily pad,",,,
millet,12,黍,",millet,wheat,cereal,umbrella,grains of rice,",,,
bald,7,禿,",bald,wheat,cereal,human legs,",,,
bear fruit,13,稔,",bear fruit,wheat,cereal,wish,wishbone,now,clock,heart,",,,
crabgrass,13,稗,",crabgrass,wheat,cereal,lowly,Wayne Slob,drop,rice field,brains,cornucopia,ten,needle,",,,
bumper crop,18,穣,",bumper crop,wheat,cereal,grass skirt,top hat,eight,six,animal legs,celery,scarf,",,,
imperial authority,13,稜,",imperial authority,wheat,cereal,Mao,soil,dirt,ground,human legs,walking legs,",,,
sparse,12,稀,",sparse,wheat,cereal,hope,sheaf,linen,by one’s side,towel,",,,
obeisant,16,穆,",obeisant,wheat,cereal,spring,white,dove,small,little,shape,",,,
peep,16,窺,",peep,hole,house,human legs,standard,husband,see,telescope,eye,human legs,human legs2,",,,
tight,10,窄,",tight,hole,house,human legs,saw,",,,
drill,9,穿,",drill,hole,house,human legs,tusk,",,,
kitchen stove,17,竃,",kitchen stove,hole,house,human legs,soil,dirt,ground,bucket of eels,sun,day,sun2,day2,",,,
longness,14,竪,",longness,loincloth,retainer,slave,crotch,vase,stand up,",,,
rustling,14,颯,",rustling,vase,stand up,wind,gnats,drop,insect,",,,
outpost,10,站,",outpost,vase,stand up,fortune-telling,magic wand,augury,mouth,",,,
repose,13,靖,",repose,vase,stand up,blue,grow up,moon,flesh,",,,
concubine,8,妾,",concubine,vase,stand up,woman,",,,
lapel,9,衿,",lapel,cloak,now,clock,",,,
lined kimono,11,袷,",lined kimono,cloak,fit,meeting,umbrella,one,mouth,",,,
pleated skirt,11,袴,",pleated skirt,cloak,Batman,large,St. Bernard,chandelier,one,ceiling,snare,",,,
sliding door,18,襖,",sliding door,cloak,core,drop,hood,rice,large,St. Bernard,",,,
Chinese panpipe,11,笙,",Chinese panpipe,bamboo,life,This is Your Life,cell,drop,grow up,",,,
raft,12,筏,",raft,bamboo,fell,person,fiesta,",,,
bamboo blinds,19,簾,",bamboo blinds,bamboo,bargain,cave,concurrently,animal horns,rake,",,,
rattan box,15,箪,",rattan box,bamboo,simple,owl,rice field,brains,ten,needle,",,,
pole,9,竿,",pole,bamboo,dry,clothesline,",,,
spatula,14,箆,",spatula,bamboo,hood,umbrella,compare,spoon,sitting on the ground,spoon2,sitting on the ground2,",,,
foil,14,箔,",foil,bamboo,overnight,water,water droplets,water pistol,white,dove,",,,
wardrobe,11,笥,",wardrobe,bamboo,director,Ken Russel,clothes hanger,coat hanger,one,mouth,",,,
arrow shaft,15,箭,",arrow shaft,bamboo,in front,horns,butcher,moon,month,flesh,part of the body,sword,sabre,saber,",,,
ancient harp,12,筑,",ancient harp,bamboo,barge,craft,mediocre,",,,
slender bamboo,17,篠,",slender bamboo,bamboo,person,stick,fred astaire,taskmaster,tree,wood,",,,
redaction,20,纂,",redaction,eyepatch,eye,bamboo,large,St. Bernard,thread,spiderman,",,,
bamboo cane,8,竺,",bamboo cane,bamboo,two,",,,
winnowing fan,14,箕,",winnowing fan,bamboo,bushel basket,hamper,animal legs,eight,",,,
backpack,9,笈,",backpack,bamboo,reach out,",,,
livraison,15,篇,",livraison,bamboo,fishfinger,door,one,ceiling,flag,scrapbook,glass canopy,hood,flowers,",,,
should,12,筈,",should,bamboo,tongue,thousand,mouth,",,,
winnow,19,簸,",winnow,winnowing fan,bamboo,bushel basket,hamper,animal legs,eight,pelt,branch,ten,needle,crotch,hook,",,,
settlings,11,粕,",settlings,rice,white,dove,",,,
lees,17,糟,",lees,rice,cadet,one,bend,sun,day,",,,
paste,15,糊,",paste,rice,uncivilised,zombie,old,tombstone,gravestone,church,ten,needle,mouth,moon,month,flesh,part of the body,",,,
unhulled rice,9,籾,",unhulled rice,rice,blade,sword,dagger,drop,",,,
rice bran,17,糠,",rice bran,rice,ease,sane,cave,sieve,rake,grains of rice,",,,
excrement,17,糞,",excrement,rice,uncommon,rice field,brains,strung together,salad,animal legs,eight,",,,
foxtail millet,12,粟,",foxtail millet,Old West,rice,",,,
link up,19,繋,",link up,tank,car,cruise missile,missile,wind,crotch,thread,spiderman,",,,
twine,14,綸,",twine,thread,spiderman,post-it note,meeting,scrapbook,glass canopy,hood,flowers,",,,
carpet yarn,12,絨,",carpet yarn,thread,spiderman,ten,needle,fiesta,",,,
ties,11,絆,",ties,thread,spiderman,half,half*,",,,
scarlet,14,緋,",scarlet,thread,spiderman,un-,jail cell,prison bars,",,,
synthesis,14,綜,",synthesis,thread,spiderman,religion,house,altar,show,two,small,",,,
string,10,紐,",string,thread,spiderman,sign of the cow,dagger,two,",,,
chinstrap,10,紘,",chinstrap,thread,spiderman,Yamanote,by one’s side,elbow,",,,
summarise,21,纏,",summarise,thread,spiderman,cave,computer,human legs,",,,
gorgeous,12,絢,",gorgeous,thread,spiderman,decameron,bound up,sun,day,",,,
embroidery,17,繍,",embroidery,thread,spiderman,solemn,rake,fenceposts,cabers,rice,",,,
pongee,11,紬,",pongee,thread,spiderman,sprout,shoot,",,,
ornate,14,綺,",ornate,thread,spiderman,strange,large,St. Bernard,street,nail,spike,mouth,",,,
damask,14,綾,",damask,thread,spiderman,Mao,soil,dirt,ground,human legs,walking legs,",,,
catgut,11,絃,",catgut,thread,spiderman,mysterious,top hat,cocoon,",,,
stripe,16,縞,",stripe,thread,spiderman,tall,top hat,mouth,hood,mouth,mouth2,",,,
gimp,14,綬,",gimp,thread,spiderman,accept,birdhouse,birdcage,claw,vulture,crown,crotch,",,,
gossamer,10,紗,",gossamer,thread,spiderman,few,",,,
rudder,11,舵,",rudder,boat,wind chimes,house,spoon,sitting on the ground,",,,
strung together,17,聯,",strung together,ear,cocoon,cactus,cocoon2,",,,
attentive,14,聡,",attentive,ear,public,eight,elbow,heart,",,,
summons,13,聘,",summons,ear,sprout,shoot,snare,",,,
addiction,10,耽,",addiction,ear,garter,crown,human legs,",,,
exclamation,9,耶,",exclamation,ear,city walls,",,,
flea,10,蚤,",flea,crotch,drop,insect,drop2,",,,
crab,19,蟹,",crab,unravel,angle,bound up,glass canopy,hood,walking cane,stick,two,sword,dagger,cow,insect,",,,
protein,11,蛋,",protein,zoo,critters,insect,",,,
hibernation,17,蟄,",hibernation,tenacious,happiness,ten,needle,stand up,vase,fat man,musashimaru,nine,baseball,drop,insect,ten2,needle2,",,,
housefly,15,蝿,",housefly,insect,eels,sun,day,sun2,day2,",,,
ant,19,蟻,",ant,insect,righteousness,sheep,ego,hand,fiesta,",,,
wax,14,蝋,",wax,insect,anemometer,owl,wind,cornstalk,",,,
shrimp,15,蝦,",shrimp,insect,hobby,staples,mouth,box,crotch,box2,",,,
octopus,13,蛸,",octopus,insect,resemblance,spark,candle,small,little,moon,month,flesh,part of the body,",,,
screw,17,螺,",screw,insect,accumulate,rice field,brains,thread,spiderman,",,,
cicada,10,蝉,",cicada,insect,simple,owl,rice field,brains,ten,needle,",,,
frog,12,蛙,",frog,insect,ivy,square jewel,soil,dirt,ground,soil2,dirt2,ground2,",,,
moth,13,蛾,",moth,insect,ego,hand,fiesta,",,,
clam,12,蛤,",clam,insect,fit,meeting,umbrella,one,mouth,",,,
leech,12,蛭,",leech,insect,climax,wall,one,ceiling,elbow,soil,dirt,ground,",,,
oyster,11,蛎,",oyster,insect,Wimbledon,cliff,ten thousand,",,,
ruled lines,13,罫,",ruled lines,eye,cross-eyed,net,ivy,square jewel,soil,dirt,ground,magic wand,augury,soil2,dirt2,ground2,",,,
stole,11,袈,",stole,add,power,muscle,arnold,mouth,cloth,clothes,clothing,garment,",,,
monk’s sash,nodata,裟,nodata,,,
incision,14,截,",incision,Thanksgiving,harvest festival,ten,needle,fiesta,turkey,",,,
I wonder,9,哉,",I wonder,Thanksgiving,harvest festival,ten,needle,fiesta,mouth,",,,
counsel,13,詢,",counsel,say,words,keitai,mouth,decameron,bound up,sun,day,",,,
polite,15,諄,",polite,wordy,say,words,keitai,mouth,receive,tall,top hat,mouth,child,children,mouth2,",,,
vendetta,23,讐,",vendetta,turkey,say,words,keitai,mouth,turkey2,",,,
remonstrate,15,諌,",remonstrate,say,words,keitai,mouth,east,tree,wood,sun,day,",,,
verify,15,諒,",verify,say,words,keitai,mouth,capital,tall,top hat,mouth,small,little,mouth2,",,,
compliment,22,讃,",compliment,say,words,keitai,mouth,approval,approve,husband,shellfish,clam,oyster,eye,animal legs,eight,husband2,",,,
query,10,訊,",query,say,words,keitai,mouth,ten,needle,fishhook,",,,
split up,11,訣,",split up,say,words,keitai,mouth,guillotine,key,St. Bernard,",,,
beg another’s pardon,nodata,詫,nodata,,,
familiarity,15,誼,",familiarity,say,words,keitai,mouth,best regards,house,shelf,my bookshelves,",,,
fallible,18,謬,",fallible,say,words,keitai,mouth,Mary Poppins,feathers,wings,parasol,umbrella,shape,",,,
wary,nodata,訝,nodata,,,
proverb,16,諺,",proverb,say,words,keitai,mouth,lad,vase,stand up,cliff,shape,",,,
slander,15,誹,",slander,say,words,keitai,mouth,un-,jail cell,prison bars,",,,
so-called,16,謂,",so-called,say,words,keitai,mouth,stomach,rice field,brains,moon,month,flesh,part of the body,",,,
secret agent,16,諜,",secret agent,say,words,keitai,mouth,Tarzan,generation,tree,wood,",,,
footnote,12,註,",footnote,say,words,keitai,mouth,candlestick,lord,drop,king,jewel,ball,",,,
