kanji_strokes,How many strokes in the kanji for:,"Draw the figure in your mind, then type the number of strokes to help you remember:",,,,
utensil,15,器,",utensil,mouth,large,St. Bernard,mouth4,",キ,うつわ,Think of the UTENSILS you would need to carve up a great 'St. Bernard's dog' to feed four hungry 'mouths'.
stinking,9,臭,",stinking,nose,drop,eye,large,St. Bernard,",シュウ,くさ・い　　にお・う ,"Our friendly 'St. Bernard's dog' has its 'nose' in the air, searching for something STINKING."
sniff,12,嗅,",stinking,nose,drop,eye,large,St. Bernard,mouth,",キュウ,か・ぐ,To SNIFF something is like tasting something 'stinking' with your 'mouth'.
exquisite,7,妙,",exquisite,woman,few,",ミョウ,,There are very 'few' 'women' who are truly EXQUISITE.
focus,9,省,",focus,few,eye,",ショウ　　セイ,かえり・みる　　はぶ・く,This kanji depicts one picking out a 'few' things to fix before one's 'eyes' in order to FOCUS on them.
thick,9,厚,",thick,cliff,sun,day,child,",コウ,あつ・い,"An abandoned 'child', exposed on a 'cliff' under the 'sun', is sure to grow up to be very THICK -skinned."
strange,8,奇,",strange,large,St. Bernard,can,mouth,street,nail,spike,",キ,,STRANGE but true: a tradie has trained his trusty 'St. Bernard' to bring him 'nails' in his 'mouth'. What a wacky world!
stream,3,川,",stream,flood,",セン,かわ,"It's a picture of a STREAM, flowing from top to bottom."
state,6,州,",state,stream,flood,drops,",シュウ,す,Two STATES are divided by a 'stream' - but who owns the little 'drops' of land inbetween?
obey,12,順,",obey,stream,flood,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",ジュン,,"In Japan, one must always OBEY - heeding the 'head' and going along with the 'stream'."
water,4,水,",water,",スイ,みず,"This kanji depicts a 'walking stick' being dropped into WATER, flinging 'drops' everywhere."
icicle,5,氷,",icicle,drop,water,",ヒョウ,こおり　　ひ,An ICICLE is a frozen bit of 'water' ready to 'drop' on your head; it's water after a 'drop' of frost has fallen.
eternity,5,永,",eternity,drop,water,",エイ,なが・い,"As Blake almost said, there's infinity in a grain of sand, ETERNITY in a 'drop' of 'water'."
spring,9,泉,",spring,white,dove,water,",セン,いずみ,This bubbling SPRING is named for the 'white' foam at the peak of the 'water'.
gland,13,腺,",gland,moon,month,flesh,part of the body,spring,white,dove,water,",セン,,Dig into your 'flesh' and rip out a GLAND: give it a squeeze and see the lymph 'spring' out of it.
meadow,10,原,",meadow,cliff,spring,white,dove,small,little,",ゲン,はら,"Sister Maria is singing in an alpine MEADOW bubbling with pure 'springs', bounded by a precipitous 'cliff'."
petition,19,願,",petition,meadow,cliff,white,dove,small,little,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",ガン,ねが・う,"Imagine the vast 'head' of the Wizard of Oz, perched in a broad 'meadow' to hear the people's PETITIONS."
swim,8,泳,",swim,water,water droplets,water pistol,eternity,",エイ,およ・ぐ,"If your ship founders in the middle of the wide 'waters' of the Pacific, you will have to SWIM for an 'eternity' to find land."
marsh,8,沼,",marsh,water,water droplets,water pistol,summon,seduce,sword,dagger,mouth,",ショウ,ぬま,Legend goes that MARSHES can often 'seduce' unwary travellers into the 'water' - drowning the unfortunates and endlessly growing the swamp.
open sea,7,沖,",open sea,water,water droplets,water pistol,in,stick,mouth,",チュウ,おき,The OPEN SEA is a picture of being 'in' the midst of the 'water'.
pan-,6,汎,",water,drop,wind,mediocre,",ハン,,"This kanji is named for the PAN- 'Mediocre' 'Water' Sports Games, where all the worst sailors go to drown."
creek,6,江,",creek,water,water droplets,water pistol,craft,",コウ,え,This kanji depicts a man-made CREEK - a fine example of 'water' 'craft'.
cleanse,7,汰,",cleanse,water,water droplets,water pistol,plump,large,St. Bernard,drop,",タ,,"When a very 'plump' man goes to the 'water' to CLEANSE himself, he does so only by making the water more dirty - which is the alternate meaning of this character."
soup,5,汁,",soup,water,water droplets,water pistol,ten,needle,",ジュウ,しる,The Japanese refer to SOUP as a meal of 'ten' 'waters' mixed together.
grains of sand,7,沙,",grains of sand,water,water droplets,water pistol,few,",サ,,"GRAINS OF SAND are paired with a 'few' drops of 'water' - one for every grain for a perfect, moist beach."
tide,15,潮,",tide,water,water droplets,water pistol,morning ,mist,ten,needle,early,sun,day,moon,month,flesh,part of the body,ten2,needle2,",チョウ,しお,"In Japan, the TIDE is known as the 'water' of the 'morning', surging up the harbour beckoning the fishermen out to sea."
source,13,源,",source,water,water droplets,water pistol,meadow,cliff,sun,day,small,little,",ゲン,みなもと,A pristine 'water' 'meadow' makes the ideal municipal water SOURCE.
lively,9,活,",lively,water,water droplets,water pistol,tongue,drop,old,tombstone,gravestone,church,ten,needle,mouth,",カツ,,A LIVELY party is one where 'tongues' babble and splash around like 'water'.
extinguish,10,消,",extinguish,water,water droplets,water pistol,resemblance,spark,candle,small,little,moon,month,flesh,part of the body,",ショウ,け・す　　き・える,One drop of 'water' per 'spark' is optimal for EXTINGUISHING a fire.
but of course,8,況,",but of course,water,water droplets,water pistol,elder brother,teenager,mouth,human legs,",キョウ,,"A 'teenager' is heading out on their first date when their mum asks if they have 'watered' behind their ears - BUT OF COURSE, they naturally protest."
river,8,河,",river,water,water droplets,water pistol,can,street,nail,spike,mouth,",カ,かわ,"Think of the Little Engine that 'could', now transformed into a steamship chugging down the 'waters' of the mighty RIVER Mississippi."
overnight,8,泊,",overnight,water,water droplets,water pistol,white,dove,",ハク,と・まる　　と・める,"When you stop by at an OVERNIGHT inn, all you really expect is a bit of 'water' to wash your face and some crisp 'white' sheets to lay under."
lake,12,湖,",lake,water,water droplets,water pistol,uncivilised,zombie,old,tombstone,gravestone,church,ten,needle,mouth,moon,month,flesh,part of the body,",コ,みずうみ,The LAKE people of ancient times used to set people out on the 'water' as soon as they grew too 'old' to bear the burdens of the 'flesh'.
fathom,12,測,",fathom,water,water droplets,water pistol,rule,shellfish,clam,oyster,eye,animal legs,eight,sword,sabre,saber,",ソク,はか・る,"The nautical unit of the FATHOM is the preferred 'water' 'rule' for sailors, who would pay out a line to measure how many fathoms to the bottom of the sea."
soil,3,土,",soil,dirt,ground,",ド　　ト,つち,The many varieties of SOIL make up the 'ten' 'floors' you stand on right now. Or perhaps this pictograph depicts a mound of SOIL piled up on the ground.
spit,6,吐,",spit,mouth,soil,dirt,ground,",ト,は・く,"If your 'mouth' gets filled with 'dirt', what else do you do but SPIT it out immediately?"
